id,title,total,accessibility,learningLadder,verifiability,publicationPotential,novelty,independence,resources,engagement,readiness,assessor
A-D01-10,A correct final answer can hide collateral edits,82,5,4,5,4,2,4,5,4,start,second
A-D04-01,How many coupling bits preserve the answer?,79,4,4,5,4,3,3,5,4,start,first
A-D02-02,Do namespace boundaries survive familiar names?,78,5,4,5,3,3,4,4,3,start,second
A-D03-06,Recognizing that available tests cannot decide,78,4,4,5,4,2,4,5,4,start,second
A-D07-10,When does local agreement justify stopping a discussion?,78,4,4,5,4,2,4,5,4,start,second
A-D01-02,An empty search is not a proof of absence,77,5,4,5,3,2,4,4,4,start,second
A-D02-04,Can memory admit that it never stored the answer?,77,4,4,5,4,3,4,4,3,start,second
A-D09-02,A split builder that keeps noisy copies together,76,4,4,5,4,2,3,5,4,start,second
A-D04-02,Use spin relabeling to diagnose implementation errors,76,4,4,5,3,3,3,5,4,start,second
A-D07-02,Can staggered route advice recover quickly after a demand shock?,76,4,4,5,3,3,3,5,4,mentor,second
A-D07-08,Choosing a committee when competence estimates are noisy,76,4,4,5,4,2,3,5,4,start,second
A-D02-01,Which logical words survive memory compression?,74,4,4,5,3,3,4,4,3,start,first
A-D07-03,A useful lifetime for social confirmation,74,4,4,4,3,3,3,5,4,start,first
A-D08-04,Can migration windows rescue a fragmented population?,74,4,4,4,4,2,3,5,4,start,second
A-D02-06,Remembering a deadline when two things are due,74,4,4,5,3,3,3,4,4,start,second
A-D03-05,Choose a batch before any results return,74,4,4,5,3,3,4,4,3,start,first
A-D02-07,When is a handoff actually finished?,74,4,4,5,3,3,4,4,3,start,first
A-D01-07,Which read-back is worth paying for?,74,4,4,5,3,3,4,4,3,start,first
A-D02-09,Overlapping expertise can leave a task unowned,74,4,4,5,3,3,4,4,3,start,first
A-D01-09,"The right name, the wrong record",74,4,4,5,3,3,4,4,3,start,first
A-D06-09,Does a seed bank protect evolutionary possibilities?,74,4,4,4,3,3,3,5,4,start,first
A-D10-02,A tuner that knows when to stay quiet,73,4,4,5,3,2,3,5,4,start,second
A-D04-03,A penalty can be too strong after rounding,73,3,4,5,4,3,3,5,3,start,first
A-D04-04,The right energy histogram can hide the wrong samples,73,4,4,5,3,2,3,5,4,rework,second
A-D10-04,A rhythm meter that preserves deliberate swing,73,4,4,5,3,2,3,5,4,start,second
A-D01-04,Units that fail only at the boundary,73,4,4,5,3,2,4,4,4,start,second
A-D06-04,Evolve a majority rule that tolerates a broken clock,73,3,4,4,4,3,3,5,4,start,second
A-D09-08,A fitted-transform provenance checker,73,4,4,5,3,2,4,5,3,start,second
A-D01-08,Cancel requested versus cancel confirmed,73,4,4,5,3,2,4,4,4,start,second
A-D04-10,Polishing a solution can spoil a sampler,73,4,4,5,3,2,3,5,4,start,second
A-D03-10,An uninformative first step that enables a decisive test,73,4,4,5,3,2,3,5,4,start,second
A-D07-01,When should a small campaign seed one cluster or several?,72,4,4,4,3,3,3,5,3,mentor,first
A-D02-03,The telephone game inside a memory summary,72,4,4,4,3,3,4,4,3,start,first
A-D01-03,How much error feedback actually teaches repair?,72,4,4,4,3,3,4,4,3,start,first
A-D07-07,Recovering accuracy when gossip messages contain only a few bits,72,4,4,4,3,3,3,5,3,start,first
F-D04-06,Sumplete: solving the ChatGPT-invented NP-complete grid puzzle,71,4,4,5,3,2,3,4,4,start,second
A-D09-01,Cleaning labels without erasing rare examples,71,4,4,4,3,2,3,5,4,start,first
A-D10-01,Stopping a tuner from jumping an octave,71,4,4,4,3,2,3,5,4,start,first
A-D07-04,Preserving an independent minority during group estimation,71,4,4,4,3,2,3,5,4,start,second
A-D02-05,A memory that recalls facts but miscounts events,71,4,4,5,2,3,4,4,3,start,first
F-D07-04,Building and extending logic gates from Life gliders,71,4,4,5,3,2,2,5,4,mentor,second
A-D10-05,Keeping gliding notes out of the drum track,71,4,4,4,3,2,3,5,4,start,first
A-D01-05,Can an agent explain a partly successful bulk action?,71,4,4,5,2,3,4,4,3,start,first
